"start_speed","pfx_x","pfx_z","x0","z0"
93.6,-4.73,9.36,-2.303,5.856
94.3,-9.98,7.76,-2.12,5.826
94.3,-6.35,11.26,-2.3,5.963
80.6,2.51,-4.48,-2.642,6.101
80.7,3.61,-5.96,-2.471,5.933
93.9,-4.68,10.14,-2.417,5.68
93.8,-7.42,9.34,-2.389,5.617
93.7,-8.48,7.97,-2.609,5.602
86.4,2.36,-2.47,-1.929,6.347
95.3,-0.19,9.39,-1.557,6.254
94.2,-1.32,8.12,-1.723,6.197
95.9,-6.17,6.17,-1.407,6.351
87.8,2.63,-0.64,-1.755,6.216
87.6,4.3,2.2,-1.554,6.314
85,1.85,-3.68,-1.753,6.293
88.1,2.24,-0.76,-1.435,6.298
90.6,-2.47,5.72,-1.24,6.57
90,2.53,2.96,-1.258,6.452
79.5,2.78,-12.05,-1.236,6.714
91.8,4.43,4.42,-1.088,6.294
89.9,4,0.5,-1.344,6.443
91.6,1.02,3.29,-1.371,6.383
91.8,-3.2,8.09,-1.383,6.578
80.3,-0.62,-12.77,-1.149,6.856
90.3,1.29,3.25,-1.188,6.447
81.6,5.43,-9.42,-1.117,6.568
80.8,3.84,-12.33,-1.193,6.696
92.1,-3.78,8.68,-1.491,6.612
91.9,-3.74,5.85,-1.585,6.483
91,1.42,4.54,-1.344,6.321
94.8,-11.02,3.5,-2.426,6.378
94.2,-10.59,3.85,-2.603,6.389
94,-11.23,1.38,-2.613,6.446
95.5,-9.09,4.45,-2.411,6.689
86.3,-1.16,-1.54,-2.601,6.622
94.6,-10.57,3.15,-2.323,6.495
85.9,-0.66,-2.15,-2.785,6.619
95.1,-12.32,0.66,-2.64,6.406
93.7,-9.83,5.46,-1.411,6.076
82.6,-10.35,4.25,-1.822,6.022
94.6,-5.88,10.6,-1.384,5.991
94.2,-5.88,8.23,-1.493,5.978
94.4,-6.12,10.41,-1.433,6.159
95.1,-5.43,9.46,-1.303,6.07
84.1,-8.37,4.88,-1.407,6.063
95.9,-5.04,7.89,-1.507,6.087
83.8,-10.99,3.2,-1.487,6.208
92.5,-5.58,9.76,-1.697,6.148
93.7,-5.78,8.22,-1.65,6.084
93.7,2.06,3.03,-1.63,5.86
94.7,0.13,4.25,-1.49,5.67
88.2,-6.66,5.54,-1.43,5.71
88.5,-5.05,2.64,-1.52,5.64
93.8,1.37,5.28,-1.54,5.7
94,2.63,4.67,-1.59,5.75
94.4,2.38,5.99,-1.65,5.71
93.6,0.32,3.07,-1.57,5.47
94.6,0.21,4.96,-1.75,5.64
93.5,1.97,2.58,-1.53,5.74
94.1,1.98,3.49,-1.61,5.72
93.8,2.17,3.86,-1.71,5.75
93.9,-1.94,4.37,-1.67,5.75
94.3,-0.45,4.5,-1.62,5.92
94.7,-1.26,6.73,-1.72,5.79
97,-5.73,4.99,-1.68,5.97
95.4,-4.74,5.04,-1.36,6
96.4,-5.19,5.76,-1.63,5.91
94.1,0.11,3.27,-1.58,5.6
94.5,3.12,3.58,-1.86,5.69
94.2,1.86,2.95,-1.62,5.7
95.4,-5.01,5.85,-1.31,5.91
87.1,-7.08,1.43,-1.23,5.91
94.6,0.74,3.61,-1.39,5.79
93.5,2.24,6.94,-1.79,5.92
92.9,1.47,7.08,-1.56,5.91
93.9,2.13,4.61,-1.41,5.81
93.1,0.05,3.62,-1.7,5.95
97.7,-5.48,6.85,-1.82,5.87
93.9,1.33,3.25,-1.62,5.84
93.7,1.43,3.76,-1.98,5.71
98.6,-7.16,2.64,-1.5,5.84
94.6,2.76,3.23,-1.73,5.85
95.8,-6.22,6.71,-1.42,5.97
90.4,-2.42,7.58,-2.47,5.79
75.6,5.83,-4.43,-2.67,5.81
90.7,-2.13,7.77,-2.35,5.86
91.6,-1.11,8.17,-2.27,5.76
92.3,-1.85,10.22,-2.34,5.76
91.3,-2.58,7.75,-2.46,5.61
92,-2.37,8.14,-2.51,5.81
91.4,-6.78,4.68,-2.38,5.53
91.9,-5.87,2.31,-2.42,5.58
75.8,6.02,-5.47,-2.5,6
85.5,-7.08,1.79,-2.4,5.62
85.9,-6.9,1.22,-2.35,5.78
90.9,-5.04,5.09,-2.63,5.72
84.4,-6.6,1.9,-2.32,5.86
90.9,-6.75,3.92,-2.54,5.61
91.3,-3.91,5.55,-2.53,5.61
92.2,-3.34,7.93,-2.49,5.69
91.6,-0.95,8.07,-2.39,5.86
75.9,8.22,-6.32,-2.66,5.72
92,-1.58,8.68,-2.46,6.03
90.9,-4.71,5.02,-2.46,5.67
76.5,8.93,-4.01,-2.91,5.84
76.7,5.24,-5.96,-2.91,5.87
91.7,-1.6,8.79,-2.45,5.85
74.7,5.61,-6.13,-2.81,5.88
82.9,-6.78,5.09,-2.43,5.84
91.6,-2.98,9.71,-2.2,5.58
89.9,-4.42,9.11,-2.44,5.76
83.9,-4.15,1.75,-2.5,5.92
90.5,-1.06,9.11,-2.47,5.8
75.7,8.76,-5.61,-2.47,6.04
77.3,6.41,-4.78,-2.58,5.89
77.3,5.98,-6.09,-2.74,5.91
90.6,-1.78,5.86,-2.57,5.84
84.2,-4.9,1.77,-2.48,5.72
85.5,-4.22,3.06,-2.34,5.81
91.5,-1.85,7.77,-2.45,5.64
85.4,-6.55,3.04,-2.47,5.54
91.5,-1.21,8.24,-2.36,5.76
90.8,-2.8,7.52,-2.51,5.66
84.6,-6.05,1.91,-2.51,5.76
90.7,-1.6,9.75,-2.41,5.68
90.8,-0.78,10.58,-2.22,5.73
90.6,-0.95,10.65,-2.19,5.73
91.3,-1.57,8.73,-2.38,5.71
91.2,-3.56,8.08,-2.35,5.82
88.2,-6.71,4.71,-2.54,5.77
91.3,-6.18,5.84,-2.47,5.76
84,-4.18,2.76,-2.6,5.61
91.1,-5.83,5.79,-2.28,5.6
75.8,5.07,-8.1,-2.81,5.83
90.1,-7.05,4.23,-2.4,5.9
90.2,-6.32,7.27,-2.32,5.75
90.7,-0.49,6.94,-2.28,5.81
83.6,-3.97,1.95,-2.55,5.95
91,-2.93,9.77,-2.31,5.78
84.3,-5.79,0.86,-2.27,5.98
83.3,-5.8,3.05,-2.24,6.05
86.3,-4.69,4.86,-2.3,5.78
92.2,-6.14,6.53,-2.44,5.7
84.7,-5.11,2.06,-2.44,5.74
91.7,-7.38,5.98,-2.52,5.64
76.9,7.72,-5.55,-2.71,5.91
91.3,-1.37,10,-2.42,5.7
91,-1.95,8.53,-2.41,5.75
84.3,-5.49,3.58,-2.32,5.64
84.9,-5.36,5.7,-2.26,5.66
92,-6.91,6.47,-2.46,5.69
90.7,-4.75,5.6,-2.52,5.66
84.9,-5.37,3.75,-2.41,5.73
90.6,-6.3,4.54,-2.5,5.63
92.1,-5.72,5.13,-2.29,5.6
76.3,5.57,-7.06,-2.68,5.81
92.2,-5.58,4.26,-2.43,5.7
77.4,5.04,-8.02,-2.74,5.96
91.6,-7.01,2.02,-2.62,5.72
83.6,-5.21,2.04,-2.56,5.79
84.4,-3.71,0.95,-2.33,5.8
85.2,-6.03,1.71,-2.41,5.84
75.7,6.65,-6.43,-2.55,6
75.8,6.15,-3.44,-2.51,5.97
73.6,7.59,-3.98,-2.62,6.05
90.9,-1,9.72,-2.2,5.81
90.8,-6.65,5.58,-2.38,5.95
90.9,-2.18,7.54,-2.36,5.85
74.7,7.82,-8.1,-2.65,6.08
90.5,-1.12,9,-2.43,5.76
84.9,-7.76,2.16,-2.54,5.7
90.4,-3,10.67,-2.45,5.7
91.4,5.81,9.87,2.29,5.45
91.7,7.32,10.08,2.49,5.33
92.2,7.11,10.8,2.47,5.37
93.4,5.48,9.23,2.1,5.42
89.5,3.04,4.8,2.28,5.51
92.9,6.77,7.63,2.52,5.38
84.6,11.21,3,2.32,5.42
93.7,9.25,10.22,2.26,5.36
93.2,8.58,10.11,2.15,5.46
74.8,-3.67,-6.26,2.36,5.68
93,5.34,8.78,2.32,5.64
