"start_speed","pfx_x","pfx_z","x0","z0"
92.7,-3.32,2.82,-1.63,6.47
96.6,-10.42,4.12,-1.516,6.161
87.2,1.41,-0.53,-1.898,6.395
96.6,-5.35,9.28,-1.511,6.298
97.7,-6.11,6.76,-1.695,6.174
92.1,-5.02,3.43,-1.639,6.342
87.5,3.45,-1.1,-1.743,6.415
98.5,-8.71,5.09,-1.392,6.247
96.1,-8.61,2.84,-1.493,6.236
97.5,-4.69,8.11,-1.69,6.122
91.7,-5.09,7.62,-0.454,6.471
91.6,-1.56,6.58,-0.591,6.319
95.6,-6.81,8.12,-0.478,6.577
86.8,-5.36,5.24,-0.414,6.4
86.3,-9.02,4.33,-0.495,6.665
86.4,-6.31,7.51,-0.359,6.484
91.7,0.22,7.32,-0.332,6.371
87.6,-6.79,6.06,-0.348,6.245
90.6,-4.37,9.83,-0.673,6.116
85.6,-2.74,5.19,-0.34,6.242
93.5,-5.7,11.83,-0.195,6.291
84.3,-8.95,4.26,-0.279,6.283
91.5,-1.88,7.64,-0.766,6.33
93.6,-4.99,9.92,-0.326,6.461
93.1,-4.86,10.39,0.011,6.524
75.6,0.99,-7.36,-0.42,6.678
92.1,-3.28,6.23,-0.677,6.199
85.9,-9.31,5.35,-0.499,6.319
93.2,-5.44,8.27,-0.498,6.661
94.2,-6.37,9.1,-0.126,6.528
93.9,-6.21,11.82,-0.019,6.554
92.9,-5.39,10.29,-0.075,6.549
93.8,-4.85,11.49,0.019,6.294
87.1,-7.33,6.75,-0.419,6.257
94.8,-5.93,9.49,-0.215,6.432
96.8,-4.89,11.1,-0.044,6.517
94.5,-7.17,10.92,-0.34,6.334
87.1,-10.24,4.26,-0.325,6.494
84.7,-10.41,3.47,-0.352,6.297
94,6.73,9.61,1.416,6.042
84.6,7.77,7.21,1.737,6.041
70.9,-7.49,-6.55,1.5,6.38
93.6,5.2,9.15,1.486,6.183
93.1,3.82,10.25,1.579,6.285
93.5,2.4,11.33,1.473,6.083
71.7,-7.7,-5.18,1.73,6.534
73.4,-7.77,-8.08,1.594,6.205
93.6,4.51,9.86,1.646,6.1
94.1,4.33,9.98,1.41,6.004
94.1,2.75,9.65,1.405,6.034
93.9,4.08,10.74,1.411,6.182
93.2,5.11,8.26,1.438,6.16
95.2,5.49,9.69,1.592,6.12
95.4,4.22,8.35,1.626,6.018
75.6,-4.74,-6.5,1.593,6.172
74.8,-7.2,-6.48,1.689,6.315
98.1,-6.28,10.23,-1.016,5.785
98.3,-7.27,10.29,-1.282,5.565
87.1,-9.16,7.44,-0.947,5.726
98.4,-7.42,10.28,-1.146,5.669
88.1,-6.22,6.35,-1.087,5.573
86.9,-9.31,6.85,-0.872,5.666
97.9,-6.65,8.44,-1.278,5.828
98.8,-7.93,10.76,-1.064,5.693
98.1,-8.43,11.54,-0.888,5.661
99.3,-9.6,10.75,-1.005,5.632
98.7,-8.53,9.84,-0.93,5.615
96.9,-4.98,10.42,-0.92,5.713
84.9,0.94,-1.7,-1.217,5.8
98.1,-8.73,10.34,-1.156,5.71
97.5,-6.14,11.57,-1.028,5.675
97.2,-7.11,10.24,-1.127,5.743
96.2,-6.03,9.59,-1.227,5.725
89,-9.23,5.61,-1.006,5.735
99.2,-8.4,9.56,-0.999,5.556
98.3,-7.15,9.9,-1.155,5.823
98.9,-8.15,10.92,-1.118,5.706
98.8,-5.22,11.11,-1.078,5.682
98.4,-6.96,9.75,-1.28,5.693
89.4,-7.78,7.61,-1.047,5.542
88.8,-11.43,5.94,-1.019,5.58
98.7,-8.07,9.21,-1.066,5.69
88.1,-8.17,6.87,-1.055,5.692
101,-7.3,9.61,-1.004,5.65
97.2,-6.32,10.08,-1.043,5.825
97.6,-5.43,10.31,-0.902,5.722
87.4,-8.04,6.77,-1.033,5.735
88.1,-7.96,7.61,-0.919,5.664
81.7,2.21,-5.23,-1.088,5.864
96.6,-5.63,7.71,-1.135,5.842
96.8,-6.61,10,-1.039,5.919
95.3,-6.14,10.83,-1.005,5.61
79.2,4.25,-4.26,-0.859,5.865
96,-5.64,10.28,-1.191,5.725
86.8,1.13,-0.48,-1.07,5.743
86.5,1.2,-0.94,-1.165,5.732
87.9,0.12,-0.28,-0.909,5.692
89.5,-8.34,7.19,-1.097,5.781
99.3,-7.67,10.67,-1.016,5.661
99.2,-7.16,10.52,-0.9,5.669
99.1,-7.49,10.02,-0.925,5.708
100.3,-7.32,10.36,-0.788,5.615
99.6,-9.19,8.82,-0.856,5.719
88.3,-9.95,5.21,-1.079,5.601
98.1,-7.6,11.91,-1.041,5.595
96.1,-7.05,9.31,-1.167,5.703
98.2,-5.77,9.37,-1.095,5.707
88.2,-7.16,6.79,-1.231,5.764
92.7,-9.18,4.75,-0.622,5.889
87.2,1.34,2,-0.705,5.993
91.7,-11.7,3.92,-0.743,5.835
92.9,-10.45,4.39,-0.747,5.839
91.8,-9.48,6.85,0.122,6.213
87.4,0.73,2.29,-0.463,6.067
92.6,-10.33,6.31,0.038,6.216
93.8,-9.29,5.8,-0.004,6.09
87.9,-0.39,2.86,-0.521,5.93
92.1,-10.64,3.35,-0.607,5.807
80,-4.54,-1.64,-0.42,6.242
88.1,1.21,0.89,-0.571,6.047
93.5,-6.87,9.01,-2.372,5.451
90.4,-2.27,3.81,-2.586,5.161
88.9,-2.2,4.09,-2.538,5.028
88.9,-1.64,5.83,-2.667,5.136
87.7,-0.08,2.68,-2.58,5.385
94.6,-7.95,9.31,-2.25,5.356
88,-0.17,3.21,-2.461,5.355
88.6,-0.58,3.42,-2.572,5.221
93,-3.97,10.41,-2.083,5.444
93.7,-6.27,9.08,-2.183,5.517
94.5,-3.22,8.41,-2.677,5.501
86.3,-0.1,3.18,-2.573,5.126
87.1,0.37,2.07,-2.578,5.353
94.5,-6.33,7.56,-2.626,5.192
92.7,-6.24,9.55,-2.194,5.365
86.7,0.55,0.89,-2.526,5.392
93.8,-4.83,9.08,-2.445,5.499
93.2,-9.24,7.52,-2.043,5.642
92.8,-9.55,7.74,-1.919,5.561
87.9,1.56,0.13,-2.047,5.65
93.7,-11.87,5.26,-1.971,5.693
84.7,-9.25,2.28,-2.114,5.553
92.4,-8.85,6.81,-1.946,5.747
92.4,-9.85,5.57,-2.113,5.651
91.8,-9.72,8.97,-1.868,5.595
92.3,-9.5,7.74,-2.098,5.814
92.8,-9.82,5,-2.274,5.62
89,-1.7,2.89,-2.258,5.659
92.5,-11.23,4.99,-2.174,5.555
94.1,-11.71,8.57,-2.06,5.612
89.1,-0.49,2.95,-2.186,5.528
86.3,-2.18,1.49,-2.176,5.758
95.2,-10.81,6.31,-1.822,5.573
87.6,0.02,2.55,-2.268,5.556
93.5,-9.33,7.35,-2.143,5.634
93.9,-8.67,7.23,-2.049,5.586
88.4,-1.93,3.45,-2.007,5.542
